doc_id,major_large,major_small,company,season,job_large,job_small,school,extra_spec,pro_rating,doc_url
3826,기타,기타,현대이지웰,2016년 하반기,무역·유통,상품기획·MD,초대졸,"['학점 3.76/4.5', '자격증 5개', '수상 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/188630
3827,자연/공학/의약계열,전자전기공학,삼성전자(주),2017년 하반기,IT·인터넷,ERP·시스템분석·설계,대학원,"['학점 3.81/4.5', '토익 865', '토스 Level5', '오픽 IM2', '자격증 1개', '인턴 1회']",1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/192588
3828,인문/사회계열,인문계열(기타),데상트코리아(주),2016년 하반기,영업·고객상담,영업관리·지원·영업기획,서울4년,"['학점 3.7/4.5', '토익 775', '자격증 1개', '해외경험 1회', '인턴 1회', '수상 3회', '자원봉사 1회']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/146060
3829,자연/공학/의약계열,IT/컴퓨터공학,신한카드(주),2015년 하반기,IT·인터넷,응용프로그래머,서울4년,"['학점 3.7/4.5', '토익 850', '토스 Level6', '자격증 1개', '인턴 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/146032
3830,자연/공학/의약계열,IT/컴퓨터공학,㈜BGF리테일,2018년 하반기,영업·고객상담,영업관리·지원·영업기획,수도권4년,"['학점 3.67/4.5', '토익 700', '토스 Level6', '자격증 1개', '자원봉사 3회']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/200999
3831,자연/공학/의약계열,전자전기공학,현대오트론(주),2016년 상반기,연구개발·설계,반도체·디스플레이,지방4년,"['학점 4/4.5', '토익 850', '토스 Level7']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145673
3832,자연/공학/의약계열,기계/항공,지에스건설㈜,2021년 하반기,건설,건축·설계·인테리어,대학원,"['학점 4.26/4.5', '토익 765', '오픽 IM2', '수상 1회', '교내활동 1회', '사회활동 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/238071
3833,인문/사회계열,역사/한국사학,LF,2019년 하반기,영업·고객상담,영업관리·지원·영업기획,지방4년,"['학점 4/4.5', '토익 965', '오픽 IH', '자격증 4개', '수상 4회', '동아리 1회', '사회활동 3회', '자원봉사 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/200923
3834,자연/공학/의약계열,기계/항공,SK하이닉스(주),2018년 상반기,연구개발·설계,반도체·디스플레이,수도권4년,"['학점 3.56/4.5', '토익 910', '토스 Level6']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/196256
3835,인문/사회계열,경영학,GS리테일,2017년 상반기,경영·사무,사무·총무·법무,서울4년,"['학점 3.8/4.5', '토익 900', '해외경험 1회']",4.0,https://www.jobkorea.co.kr/starter/PassAssay/View/190256
3836,인문/사회계열,영어/영문,남양유업㈜,2019년 상반기,영업·고객상담,제품·서비스영업,서울4년,"['학점 3.63/4.5', '토익 960', '오픽 IM2', '자격증 2개', '인턴 3회']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/198257
3837,인문/사회계열,신문방송/언론정보학,CJ CGV(주),2015년 상반기,마케팅·광고·홍보,홍보·PR,서울4년,"['학점 3.3/4.5', '토스 Level6', '자격증 2개', '인턴 1회', '수상 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145280
3838,자연/공학/의약계열,정보통신학,한국동서발전(주),2016년 하반기,IT·인터넷,네트워크·서버·보안,수도권4년,"['학점 4.02/4.5', '토익 810', '토스 Level6', '자격증 3개', '인턴 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/188439
3839,자연/공학/의약계열,기계/항공,삼성전기(주),2015년 하반기,연구개발·설계,기계설계·CAD·CAM,수도권4년,"['학점 3.7/4.5', '토익 790', '토스 Level5', '인턴 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/144170
3840,예체능계열,예체능계열(기타),삼성웰스토리㈜,2016년 하반기,서비스,요리·영양·제과제빵·바리스타,지방4년,"['학점 3.6/4.5', '자격증 4개', '인턴 1회', '수상 2회']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/146682
3841,인문/사회계열,국제통상/경상,신성통상㈜,2015년 하반기,영업·고객상담,제품·서비스영업,서울4년,"['학점 3.9/4.5', '토익 965', '오픽 AL']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/144529
3842,자연/공학/의약계열,화학공학/생명공학,아시아나항공(주),2015년 하반기,영업·고객상담,제품·서비스영업,서울4년,"['학점 3.7/4.5', '토익 805', '자격증 3개', '해외경험 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/143641
3843,자연/공학/의약계열,에너지/원자력 공학,한국수력원자력(주),2018년 상반기,연구개발·설계,화학·에너지·환경,서울4년,"['학점 3.48/4.5', '토익 825', '토스 Level6', '제2외국어 1개']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/196202
